neighborhood,median_price,listing_count
Near North Side,219.0,779
West Town,156.0,639
Near West Side,198.0,518
Lake View,157.0,474
Loop,214.0,419
Logan Square,129.0,407
Lincoln Park,199.0,246
Near South Side,209.0,233
Lower West Side,111.0,202
Woodlawn,85.0,198
Avondale,117.0,180
Bridgeport,92.5,174
Irving Park,126.0,162
Uptown,112.5,158
Rogers Park,102.0,157
Edgewater,135.0,155
Grand Boulevard,144.0,129
North Center,155.0,123
South Shore,104.0,110
Lincoln Square,115.5,108
West Ridge,107.0,103
East Garfield Park,79.0,102
Douglas,115.0,100
Humboldt Park,106.0,96
Armour Square,140.0,93
